age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,grade
18,4,4,2,2,0,4,3,4,1,1,3,6,low
17,1,1,1,2,0,5,3,3,1,1,3,4,low
15,1,1,1,2,3,4,3,2,2,3,3,10,low
15,4,2,1,3,0,3,2,2,1,1,5,2,high
16,3,3,1,2,0,4,3,2,1,2,5,4,low
16,4,3,1,2,0,5,4,2,1,2,5,10,high
16,2,2,1,2,0,4,4,4,1,1,3,0,low
17,4,4,2,2,0,4,1,4,1,1,1,6,low
15,3,2,1,2,0,4,2,2,1,1,1,0,high
15,3,4,1,2,0,5,5,1,1,1,5,0,high
15,4,4,1,2,0,3,3,3,1,2,2,0,low
15,2,1,3,3,0,5,2,2,1,1,4,4,mid
15,4,4,1,1,0,4,3,3,1,3,5,2,mid
15,4,3,2,2,0,5,4,3,1,2,3,2,low
15,2,2,1,3,0,4,5,2,1,1,3,0,high
16,4,4,1,1,0,4,4,4,1,2,2,4,mid
16,4,4,1,3,0,3,2,3,1,2,2,6,mid
16,3,3,3,2,0,5,3,2,1,1,4,4,low
17,3,2,1,1,3,5,5,5,2,4,5,16,low
16,4,3,1,1,0,3,1,3,1,3,5,4,low
15,4,3,1,2,0,4,4,1,1,1,1,0,high
15,4,4,1,1,0,5,4,2,1,1,5,0,high
16,4,2,1,2,0,4,5,1,1,3,5,2,high
16,2,2,2,2,0,5,4,4,2,4,5,0,mid
15,2,4,1,3,0,4,3,2,1,1,5,2,low
16,2,2,1,1,2,1,2,2,1,3,5,14,low
15,2,2,1,1,0,4,2,2,1,2,5,2,low
15,4,2,1,1,0,2,2,4,2,4,1,4,high
16,3,4,1,2,0,5,3,3,1,1,5,4,low
16,4,4,1,2,0,4,4,5,5,5,5,16,low
15,4,4,1,2,0,5,4,2,3,4,5,0,mid
15,4,4,2,2,0,4,3,1,1,1,5,0,high
15,4,3,1,2,0,4,5,2,1,1,5,0,high
15,3,3,1,2,0,5,3,2,1,1,2,0,mid
16,3,2,1,1,0,5,4,3,1,1,5,0,high
